data,precipitacao_total_mm,temperatura_media_c,umidade_relativa_%,vento_m_s,queda_de_energia,ESTADO,ESTACAO
2023-08-30,2.20,17.88,84.54,0.24,0,SC,FLORIANOPOLIS
2023-08-30,8.20,21.25,76.79,2.24,0,DF,BRASILIA
2023-08-31,0.00,31.43,46.79,2.43,1,MT,CUIABA
2023-09-02,2.40,26.20,64.46,1.07,0,GO,GOIANIA
2023-09-02,0.00,25.98,76.46,0.87,0,BA,SALVADOR
2023-09-02,1.80,23.17,67.46,2.24,0,DF,BRASILIA
2023-09-02,0.00,33.38,37.75,2.77,0,MT,CUIABA
2023-09-02,2.20,18.72,85.08,0.88,0,SC,FLORIANOPOLIS
2023-09-02,3.40,22.32,80.17,0.90,0,ES,VITORIA
2023-09-04,5.40,24.66,85.92,0.97,1,BA,SALVADOR
2023-09-04,0.00,33.58,34.12,2.26,1,MT,CUIABA
2023-09-06,0.00,23.60,60.12,3.86,1,DF,BRASILIA
2023-09-10,0.00,23.35,37.96,2.81,1,DF,BRASILIA
2023-09-10,0.00,26.70,42.46,1.22,1,GO,GOIANIA
2023-09-11,0.00,20.75,79.83,2.07,1,SC,FLORIANOPOLIS
2023-09-14,0.00,26.25,50.54,1.75,0,GO,GOIANIA
2023-09-14,9.60,21.15,83.54,1.62,0,MT,CUIABA
2023-09-14,0.00,26.54,62.00,2.33,0,ES,VITORIA
2023-09-14,0.00,25.20,76.92,1.02,0,BA,SALVADOR
2023-09-14,0.00,23.47,49.92,2.10,0,DF,BRASILIA
2023-09-14,0.20,20.28,63.54,2.28,0,SC,FLORIANOPOLIS
2023-09-15,0.00,24.81,58.92,1.26,1,GO,GOIANIA
2023-09-24,0.00,26.63,35.33,1.75,0,DF,BRASILIA
2023-09-24,0.00,25.40,81.42,1.25,0,BA,SALVADOR
2023-09-24,0.00,33.44,40.61,1.36,0,MT,CUIABA
2023-09-24,0.00,27.50,63.26,2.10,0,ES,VITORIA
2023-09-24,3.40,22.92,79.79,1.45,0,SC,FLORIANOPOLIS
2023-09-24,0.00,29.40,43.17,0.48,0,GO,GOIANIA
2023-09-27,0.20,28.50,73.12,1.88,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-09-27,0.00,25.12,50.67,4.06,0,MG,BELO HORIZONTE - CERCADINHO
2023-09-28,0.00,26.36,73.96,1.59,1,BA,SALVADOR
2023-09-29,0.80,31.09,52.45,1.29,0,MT,CUIABA
2023-09-29,7.20,22.58,73.67,1.69,0,DF,BRASILIA
2023-09-29,0.80,19.05,79.75,0.11,0,SC,FLORIANOPOLIS
2023-09-29,0.00,22.35,65.29,1.66,0,ES,VITORIA
2023-09-29,0.00,26.13,78.38,1.10,0,BA,SALVADOR
2023-09-29,0.60,27.02,62.54,0.86,0,GO,GOIANIA
2023-10-01,5.00,19.03,82.29,2.46,1,SC,FLORIANOPOLIS
2023-10-03,2.20,22.02,74.21,2.18,0,DF,BRASILIA
2023-10-03,0.00,18.31,68.08,0.53,0,SC,FLORIANOPOLIS
2023-10-03,0.60,24.58,78.33,1.02,0,ES,VITORIA
2023-10-03,0.40,25.83,63.17,0.96,0,GO,GOIANIA
2023-10-03,4.80,31.61,48.14,2.30,0,MT,CUIABA
2023-10-03,0.00,25.79,77.21,1.33,0,BA,SALVADOR
2023-10-04,0.00,26.05,75.38,1.05,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-10-04,0.60,24.42,61.54,3.42,0,MG,BELO HORIZONTE - CERCADINHO
2023-10-05,0.60,25.80,81.08,2.10,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-10-05,40.20,22.10,79.80,0.50,1,SP,Sao Paulo
2023-10-05,0.00,25.11,56.96,3.31,0,MG,BELO HORIZONTE - CERCADINHO
2023-10-07,2.80,28.63,75.17,1.58,1,RJ,RIO DE JANEIRO - VILA MILITAR
2023-10-09,86.60,20.50,82.00,1.60,1,SP,Sao Paulo
2023-10-10,0.00,25.22,62.88,1.81,0,DF,BRASILIA
2023-10-10,16.00,29.80,62.35,1.52,0,MT,CUIABA
2023-10-10,0.00,20.14,74.83,0.68,0,SC,FLORIANOPOLIS
2023-10-10,0.00,26.72,72.17,1.27,0,BA,SALVADOR
2023-10-10,0.00,24.77,75.65,1.30,0,ES,VITORIA
2023-10-10,0.00,28.27,59.29,0.81,0,GO,GOIANIA
2023-10-12,0.00,26.83,49.26,2.02,1,DF,BRASILIA
